rider,stage,position,gap,stage_time,tour,year
HAGA Chad,21,1,0,1327,giro-d-italia,2019
CAMPENAERTS Victor,21,2,4,1331,giro-d-italia,2019
DE GENDT Thomas,21,3,6,1333,giro-d-italia,2019
CARUSO Damiano,21,4,9,1336,giro-d-italia,2019
LUDVIGSSON Tobias,21,5,11,1338,giro-d-italia,2019
ČERNÝ Josef,21,6,11,1338,giro-d-italia,2019
BILBAO Pello,21,7,17,1344,giro-d-italia,2019
CATTANEO Mattia,21,8,20,1347,giro-d-italia,2019
NIBALI Vincenzo,21,9,23,1350,giro-d-italia,2019
ROGLIČ Primož,21,10,26,1353,giro-d-italia,2019
DURBRIDGE Luke,21,11,27,1354,giro-d-italia,2019
BOHLI Tom,21,12,34,1361,giro-d-italia,2019
ZAKARIN Ilnur,21,13,36,1363,giro-d-italia,2019
POLANC Jan,21,14,37,1364,giro-d-italia,2019
MAJKA Rafał,21,15,40,1367,giro-d-italia,2019
VAN EMDEN Jos,21,16,42,1369,giro-d-italia,2019
JUNGELS Bob,21,17,44,1371,giro-d-italia,2019
BAUER Jack,21,18,48,1375,giro-d-italia,2019
AMADOR Andrey,21,19,53,1380,giro-d-italia,2019
SIVAKOV Pavel,21,20,57,1384,giro-d-italia,2019
LANDA Mikel,21,21,57,1384,giro-d-italia,2019
FORMOLO Davide,21,22,58,1385,giro-d-italia,2019
CATALDO Dario,21,23,60,1387,giro-d-italia,2019
YATES Simon,21,24,60,1387,giro-d-italia,2019
BOUWMAN Koen,21,25,63,1390,giro-d-italia,2019
MOLLEMA Bauke,21,26,64,1391,giro-d-italia,2019
SÜTTERLIN Jasha,21,27,64,1391,giro-d-italia,2019
ULISSI Diego,21,28,66,1393,giro-d-italia,2019
DE LA PARTE Víctor,21,29,67,1394,giro-d-italia,2019
MCCARTHY Jay,21,30,69,1396,giro-d-italia,2019
GRADEK Kamil,21,31,69,1396,giro-d-italia,2019
MAS Lluís,21,32,69,1396,giro-d-italia,2019
DÉMARE Arnaud,21,33,70,1397,giro-d-italia,2019
ANTUNES Amaro,21,34,70,1397,giro-d-italia,2019
HAMILTON Lucas,21,35,70,1397,giro-d-italia,2019
CARAPAZ Richard,21,36,72,1399,giro-d-italia,2019
DOMBROWSKI Joe,21,37,72,1399,giro-d-italia,2019
GOGL Michael,21,38,77,1404,giro-d-italia,2019
HINDLEY Jai,21,39,78,1405,giro-d-italia,2019
DAVIES Scott,21,40,78,1405,giro-d-italia,2019
SCOTSON Miles,21,41,79,1406,giro-d-italia,2019
NEILANDS Krists,21,42,79,1406,giro-d-italia,2019
LÓPEZ Miguel Ángel,21,43,80,1407,giro-d-italia,2019
O'CONNOR Ben,21,44,82,1409,giro-d-italia,2019
KANGERT Tanel,21,45,83,1410,giro-d-italia,2019
VENTOSO Francisco José,21,46,86,1413,giro-d-italia,2019
IZAGIRRE Ion,21,47,87,1414,giro-d-italia,2019
HONORÉ Mikkel Frølich,21,48,88,1415,giro-d-italia,2019
VUILLERMOZ Alexis,21,49,89,1416,giro-d-italia,2019
POZZOVIVO Domenico,21,50,90,1417,giro-d-italia,2019
ZEITS Andrey,21,51,90,1417,giro-d-italia,2019
NIEVE Mikel,21,52,96,1423,giro-d-italia,2019
GHEBREIGZABHIER Amanuel,21,53,97,1424,giro-d-italia,2019
