rider,stage,position,gap,stage_time
GANNA Filippo,21,1,0,1036
CAMPENAERTS Victor,21,2,32,1068
DENNIS Rohan,21,3,32,1068
ALMEIDA João,21,4,41,1077
SCOTSON Miles,21,5,41,1077
ČERNÝ Josef,21,6,44,1080
HAGA Chad,21,7,44,1080
MCNULTY Brandon,21,8,46,1082
GRADEK Kamil,21,9,47,1083
TRATNIK Jan,21,10,47,1083
KELDERMAN Wilco,21,11,55,1091
TUSVELD Martijn,21,12,58,1094
GEOGHEGAN HART Tao,21,13,58,1094
DE GENDT Thomas,21,14,63,1099
BODNAR Maciej,21,15,64,1100
ROSSKOPF Joey,21,16,65,1101
DOWSETT Alex,21,17,66,1102
SOBRERO Matteo,21,18,68,1104
POZZOVIVO Domenico,21,19,70,1106
BRÄNDLE Matthias,21,20,71,1107
PARET-PEINTRE Aurélien,21,21,73,1109
HONORÉ Mikkel Frølich,21,22,74,1110
FELLINE Fabio,21,23,74,1110
BILBAO Pello,21,24,76,1112
O'CONNOR Ben,21,25,78,1114
ULISSI Diego,21,26,78,1114
BJERG Mikkel,21,27,79,1115
SWIFT Ben,21,28,83,1119
PUCCIO Salvatore,21,29,86,1122
NIBALI Vincenzo,21,30,87,1123
FUGLSANG Jakob,21,31,88,1124
BALLERINI Davide,21,32,90,1126
MASNADA Fausto,21,33,91,1127
VENDRAME Andrea,21,34,92,1128
OOMEN Sam,21,35,94,1130
KONRAD Patrick,21,36,95,1131
MEINTJES Louis,21,37,96,1132
HINDLEY Jai,21,38,97,1133
DÉMARE Arnaud,21,39,98,1134
WARBASSE Larry,21,40,98,1134
VALTER Attila,21,41,99,1135
KONOVALOVAS Ignatas,21,42,101,1137
RODRÍGUEZ Óscar,21,43,103,1139
BOUCHARD Geoffrey,21,44,103,1139
ZAKARIN Ilnur,21,45,107,1143
CONTI Valerio,21,46,109,1145
HODEG Álvaro José,21,47,110,1146
SERRY Pieter,21,48,112,1148
KNOX James,21,49,113,1149
HAMILTON Chris,21,50,113,1149
PERNSTEINER Hermann,21,51,115,1151
SAGAN Peter,21,52,116,1152
CAICEDO Jonathan Klever,21,53,118,1154
OLDANI Stefano,21,54,119,1155
ROSSETTO Stéphane,21,55,119,1155
FABBRO Matteo,21,56,120,1156
DENZ Nico,21,57,122,1158
CONSONNI Simone,21,58,124,1160
BATTAGLIN Enrico,21,59,124,1160
HOLMES Matthew,21,60,125,1161
MAŁECKI Kamil,21,61,125,1161
CLARKE Simon,21,62,126,1162
GUERREIRO Ruben,21,63,127,1163
KANGERT Tanel,21,64,127,1163
FRANKINY Kilian,21,65,127,1163
VANHOUCKE Harm,21,66,130,1166
NOVAK Domen,21,67,131,1167
MAJKA Rafał,21,68,132,1168
PADUN Mark,21,69,132,1168
LE TURNIER Mathias,21,70,133,1169
DIBBEN Jonathan,21,71,133,1169
HAGEN Carl Fredrik,21,72,134,1170
HANSEN Jesper,21,73,135,1171
